sheet_name|variable|type|description|group
socioeconomic_social capital||categorical|Does your family have a car?|Socioeconomic
socioeconomic_social capital||categorical|Does your child have his / her own room?|Socioeconomic
socioeconomic_social capital||categorical|During the past year, did you travel away on holiday|Socioeconomic
socioeconomic_social capital||categorical|How many computers do you have in your household|Socioeconomic
socioeconomic_social capital||categorical|What is your current civil(marital) status?|Socioeconomic
socioeconomic_social capital||categorical|Are you (who are you living with):|Socioeconomic
socioeconomic_social capital||categorical|Has your marital status changed in the last five years?|Socioeconomic
socioeconomic_social capital||categorical|If yes, please state how your marital status has changed|Socioeconomic
socioeconomic_social capital||categorical|What is your current employment status?|Socioeconomic
socioeconomic_social capital||categorical|Has your employment status changed in the last five years?|Socioeconomic
socioeconomic_social capital||categorical|If yes, please state how your employment status has changed.|Socioeconomic
socioeconomic_social capital||character|Please specify how your employment status has changed|Socioeconomic
socioeconomic_social capital||categorical|Has the employment status of your child/s father changed in the last five years?|Socioeconomic
socioeconomic_social capital||categorical|If yes, please state how the employment status of your childs father has changed|Socioeconomic
socioeconomic_social capital||character|Please specify how your employment status has changed|Socioeconomic
socioeconomic_social capital||categorical|How well would you say your family is managing financially these days.|Socioeconomic
socioeconomic_social capital||categorical|Compared to five years ago,how is your family doing financially now?|Socioeconomic
socioeconomic_social capital||double|Family Affluence Scale (FAS II) continuous|Socioeconomic
socioeconomic_social capital||categorical|Family Affluence Scale (FAS II) categorical|Socioeconomic
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: political parties|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: trade unions|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: environmental groups|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: parent-teacher association|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: tenants or neighbourhood group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: arts or music group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: religious group or church organisation|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: charity|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: youth group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: womens institute|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: social club|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: sports club|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: playgroup|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?:  None|Social_capital
socioeconomic_social capital|hs_enjoy_area|integer|How much do you agree with the following statement:This area is a place I enjoy living in|Social_capital
socioeconomic_social capital|hs_help_neigh|categorical|How much do you agree with the following statement:It is easy to get practical help from the neighbours|Social_capital
socioeconomic_social capital|hs_trust_neigh|categorical|How much do you agree with the following statement:Most people can be trusted in my neighbourhood|Social_capital
socioeconomic_social capital|hs_ask_advice|categorical|How much do you agree with the following statement:There are people I can turn to for advice|Social_capital
socioeconomic_social capital|hs_contact_fam|categorical|How often do you have contact with your friends and /or family?|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: political parties|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: trade unions|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: environmental groups|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: parent-teacher association|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: tenants or neighbourhood group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: arts or music group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: religious group or church organisation|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: charity|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: youth group|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: womens institute|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: social club|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: sports club|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?: playgroup|Social_capital
socioeconomic_social capital||bool|Do you regularly join in the activities of any of these organisations?:  None|Social_capital
socioeconomic_social capital||byte|Participation in organizations|Social_capital
socioeconomic_social capital||categorical|Participation in organizations, 3cat|Social_capital
socioeconomic_social capital|contactfam_3cat|string|How often do you have contact with your friends and /or family?|Social_capital
socioeconomic_social capital|contactfam_3cat_num|categorical|How often do you have contact with your friends and /or family?, 3cat|Social_capital
tobacco|hs_tob|integer|Which of the following best describes your consumption of tobacco?|tobacco
tobacco|hs_cig_w|integer|How many cigarettes per week in total do you smoke?|tobacco
tobacco|hs_cig_whm|integer|How many cigarettes per week on average do you smoke inside the home?|tobacco
tobacco|hs_smk_partner|integer|Does your partner smoke?|tobacco
tobacco|hs_cig_partner_w|integer|How many cigarettes per week in total does your partner smoke?|tobacco
tobacco|hs_cig_partner_whm|integer|How many cigarettes per week, does your partner smoke inside the home?|tobacco
tobacco|hs_smk_oth1|integer|Does anyone else smoke in your home ?|tobacco
tobacco|hs_cig_oth1_whm|integer|How many cigarettes per week on average does this person smoke inside the home?|tobacco
tobacco|hs_cig_oth2|integer|Do any further people smoke at your home?|tobacco
tobacco|hs_cig_oth2_whm|integer|How many cigarettes per week on average does this person smoke inside the home?|tobacco
tobacco|hs_cin_smk|integer|Do you sometimes go to other indoor places with your child where people smoke ?|tobacco
tobacco|hs_cin_smk_w|integer|How many times per week?|tobacco
tobacco|hs_smk_parents|string|Smoking status of parents (both)|tobacco
tobacco|hs_globalexp|string|Global exposure of the child to ETS (4 categories)|tobacco
tobacco|hs_globalexp2|string|Global exposure of the child to ETS (2 categories)|tobacco
tobacco||integer|How many cigarettes did you smoke yesterday?|tobacco
tobacco||integer|How many cigarrettes did you smoke in the last week?|tobacco
tobacco||integer|Was your child in an indoor place where someone was smoking in the last week?|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Monday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Tuesday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Wednesday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Thursday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Friday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Saturday|tobacco
tobacco||integer|For how long was your child in an indoor place where someone was smoking on Sunday|tobacco
clinical|h_sex|byte|Child's sex|clinical
clinical|h_date_birth|int|Child's date of birth|clinical
clinical||int|Date of clinical assessment|clinical
clinical|hs_age_years|float|Age at clinical assessment (years)|clinical
clinical|hs_c_height|double|Height (m)|clinical
clinical|hs_c_weight|double|Weight (kg)|clinical
clinical|hs_c_bmi|float|BMI (kg/m^2)|clinical
clinical||float|WHO: Weight-for-age (age range: 0-10 years)|clinical
clinical||float|WHO: Height-for-age (age range: 0-19 years)|clinical
clinical||float|THEANO: BMI-for-age (age range: 0-19 years)|clinical
clinical||byte|THEANO: BMI classification|clinical
clinical||byte|IOTF: Overweight/Obesity classification - 3 categories|clinical
clinical|hs_bp_sys|float|Systolic blood pressure, mean of 2nd & 3rd measurements|clinical
clinical|hs_bp_dia|float|Diastolic blood pressure, mean of 2nd & 3rd measurements|clinical
clinical||float|Systolic BP SD score|clinical
clinical||float|Diastolic BP SD score|clinical
clinical||byte|Hypertensive classification (3 categories)|clinical
clinical|hs_waist|float|Waist circumference (cm)|clinical
clinical|hs_midup_arm|float|Mid-upper arm circumference (cm)|clinical
clinical|hs_head_circ|float|Head circumference (cm)|clinical
clinical|hs_w2h|float|Waist-to-Height ratio|clinical
clinical||byte|Waist-to-Height ratio above/below 0.5|clinical
clinical||float|Waist circumference SD score, adjusted for age, sex|clinical
clinical||byte|Percentiles of waist circumference SD score, adjusted for age, sex|clinical
clinical||float|Mid-upper arm circumference SD score, adjusted for age, sex|clinical
clinical|hs_tricep|float|Skinfold thickness - Triceps (mm)|clinical
clinical|hs_subs_capular|float|Skinfold thickness - Subscapular (mm)|clinical
clinical|hs_suprailiac|float|Skinfold thickness - Suprailiac (mm)|clinical
clinical|hs_thigh|float|Skinfold thickness - Thigh (mm)|clinical
clinical|hs_skf_sum4|float|Sum of skinfold thickness of all 4 points|clinical
clinical|hs_skf_sum2|float|Sum of skinfold thickness of 2 points: Triceps & Subscapular|clinical
clinical|hs_fatprop|float|Fat: %, Slaughter function|clinical
clinical|hs_fatmass|float|Fat: Kgr, Goran function|clinical
clinical|hs_freefatmass_bia|float|BIA: Free fat mass (Kg), Clasey function|clinical
clinical|hs_fatmass_bia|float|BIA: Fat mass (Kg), Clasey function|clinical
clinical|hs_fatprop_bia|float|BIA: Fat mass, percentage of total weight (%), Clasey function|clinical
clinical||float|z-bmi WHO|clinical
clinical||float|z-bmi categorized WHO|clinical
clinical||float|Sex- and age- specific waist circumference z-score  that was used for the construction of the MetS score|clinical
clinical||float|Log-transformed triglyceride values|clinical
clinical||float|Sex- and age- specific triglyceride z-score (based on log values) that was used for the construction of the MetS score|clinical
clinical|hs_hdlchol_mgdl|float|HDL cholesterol values|clinical
clinical||float|Sex- and age- specific HDL z-score that was used for the construction of the MetS score|clinical
clinical||float|Log2-transformed insulin values (obtained from the proteomics dataset)|clinical
clinical||float|Sex- and age- specific Insulin z-score (based on log2 values) that was used for the construction of the MetS score|clinical
clinical||float|Metabolic syndrome z score|clinical
neuro||float|Dominant hand|neuro
neuro||byte|number of correct rejections colors 1-back|nback
neuro||byte|number of false alarms colors 1-back|nback
neuro||byte|number of hits colors 1-back|nback
neuro||byte|number of miss colors 1-back|nback
neuro||double|Mean Hit Reaction Time colors 1-back|nback
neuro||byte|number of correct rejections colors 2-back|nback
neuro||byte|number of false alarms colors 2-back|nback
neuro||byte|number of hits colors 2-back|nback
neuro||byte|number of miss colors 2-back|nback
neuro||double|Mean Hit Reaction Time colors 2-back|nback
neuro||byte|number of correct rejections colors 3-back|nback
neuro||byte|number of false alarms colors 3-back|nback
neuro||byte|number of hits colors 3-back|nback
neuro||byte|number of miss colors 3-back|nback
neuro||double|Mean Hit Reaction Time colors 3-back|nback
neuro||byte|number of correct rejections numbers 1-back|nback
neuro||byte|number of false alarms numbers 1-back|nback
neuro||byte|number of hits numbers 1-back|nback
neuro||byte|number of miss numbers 1-back|nback
neuro||double|Mean Hit Reaction Time numbers 1-back|nback
